,Curve_idx,Dataset_idx,Learner_idx,Learner_name,Model,SMAPE,MAE,MSE,Cutoff_idx,Cutoff_percentage,Train_points,Test_points,curve_idx,SMAPE_rank,MAE_rank,MSE_rank,Average_rank
149,42,127,5,ExtraTree,MMF4,1.5989441739480568,0.0296085233717776,0.0009486435810557,25,0.1,25,43,38,3.0,3.0,3.0,3.0
150,42,127,5,ExtraTree,WBL4,1.8060547193923613,0.0333704931525503,0.0011947955901551,25,0.1,25,43,38,4.0,4.0,4.0,4.0
151,42,127,5,ExtraTree,POW4,0.6885002802568317,0.0128799419600325,0.0001973343342467,25,0.1,25,43,38,2.0,2.0,2.0,2.0
152,44,243,22,ens.GradientBoosting,LC-PFN,0.7786025293171406,0.0113679943606257,0.0001601727708475,25,0.1,25,41,39,1.0,1.0,1.0,1.0
153,44,243,22,ens.GradientBoosting,MMF4,8.843907426078555,0.1442805260666248,0.0256363853869037,25,0.1,25,41,39,3.0,3.0,3.0,3.0
154,44,243,22,ens.GradientBoosting,WBL4,10.467198090150664,0.1745361513123074,0.0375029054558443,25,0.1,25,41,39,4.0,4.0,4.0,4.0
155,44,243,22,ens.GradientBoosting,POW4,4.756038354006418,0.0740860629201339,0.0072585590576668,25,0.1,25,41,39,2.0,2.0,2.0,2.0
156,45,251,10,SGDClassifier,LC-PFN,3.7532977759838095,0.059341050684452,0.0042756828479468,25,0.1,25,47,40,2.0,2.0,2.0,2.0
157,45,251,10,SGDClassifier,MMF4,6.914260360779909,0.1059759981745691,0.0146569216581606,25,0.1,25,47,40,3.0,3.0,3.0,3.0
158,45,251,10,SGDClassifier,WBL4,8.493825558365067,0.1278170126215248,0.0208091939994042,25,0.1,25,47,40,4.0,4.0,4.0,4.0
159,45,251,10,SGDClassifier,POW4,2.2580927803134525,0.036778193159883,0.0019654606578259,25,0.1,25,47,40,1.0,1.0,1.0,1.0
160,49,34,14,BernoulliNB,LC-PFN,1.623489148914814,0.0229240320622921,0.0006855902029201,25,0.1,25,42,41,4.0,4.0,4.0,4.0
